,Newsletter Title,Description,url,Topic Tags
0,FCI Weekly,Covering the Financial Crime Industry,https://fciweekly.com,Data Science
1,machine learning nuggets,Weekly machine learning nuggets,http://machinelearningnuggets.com/,Data Science
2,Shiny Weekly,"R Shiny Community News - Tutorials, Apps, Events, And More.",http://eepurl.com/hOsazX,Data Science
3,The Monthly with All That Geo,"Spatial data visualisation, analysis and storytelling for the rest of us.",https://www.allthatgeo.com/tag/newsletter/,Data Science
4,Tableau Academy,Level up your data skills with Tableau Academy!,https://tableauacademy.substack.com/p/welcome-to-tableau-academy,Data Science
5,Data Science and Machine Learning 101,"For Data Science Practitioners, and Enthusiasts",https://bowtiedraptor.substack.com/,Data Science
6,Beginner.dev,Actionable advice for software engineers looking to get a promotion.,https://newsletter.beginner.dev/,Data Science
7,Public Health & Data Science,A weekly brief that covers major public heath and data science topics.,https://publichealthdatascience.substack.com/,Data Science
8,Programmer Weekly,A free weekly newsletter featuring the best hand curated links for programmers,https://www.programmerweekly.com/,Data Science
9,The Reshape,Top-notch AI 🤖 & Data Science 📊 articles delivered straight to your inbox 📫,https://thereshape.co/,Data Science
10,Become a Better Developer,Articles about Software Engineering and career in Tech,https://renanmf.com/newsletter/,Data Science
11,TheSequence,The best source to stay up-to-date with the developments in the ML&AI space,https://thesequence.substack.com/,Data Science
12,Middle East AI News,A weekly roundup of AI news from across the Middle East,https://www.linkedin.com/newsletters/middle-east-ai-news-6863424430882746368/,Data Science
13,Data Elixir,A weekly dose of the top data science picks from around the web,https://dataelixir.com/,Data Science
14,Gradient Ascent,Level up in machine learning - The fun way!,https://newsletter.artofsaience.com,Data Science
15,Tableau Tea Break,Your weekly update on all things Tableau!,https://tableau.substack.com/,Data Science
16,The Content Technologist,Breaking down how algorithms see content.,https://www.content-technologist.com,Data Science
17,Beached,Highlighting the plight of history's largest creatures and their oceans.,https://beachedcommunity.substack.com/archive,Data Science
18,Am I or Are the Others Crazy,Drunken Curiosity & Unsettled Questions,https://amioraretheotherscrazy.substack.com,Data Science
19,Seattle Data Guy,"Simplifying the data stack from big data, data ingestion to ML",https://seattledataguy.substack.com/,Data Science
