,Newsletter Title,Description,url,Topic Tags
0,Scroll Sanity,life hacks for staying sane in a digital world,https://carmellaguiol.substack.com/,Productivity
1,Ecléctico,"Ecléctico delivers a world of music to your inbox, one song at a time.",https://www.eclectico.org/,Productivity
2,The Grind,For the entrepreneur who wants more...,thegrind.com,Productivity
3,Meco Reads,"The best links, learnings and newsletters from around the interweb 🪄",https://newsletter.meco.app/,Productivity
4,Rabbit Ideas,We find useful online resources and share them so you don't have to search.,http://newsletter.rabbitideas.online/,Productivity
5,How Curious!,Monthly newsletter packed with awesome discoveries and personal recommendations,https://newsletter.peterduffy.ie/,Productivity
6,ProductiveGrowth,"Weekly stories about productivity, leadership, & motivation from top minds.",https://productivegrowth.substack.com/,Productivity
7,The Chatty Mammoth,"The most stimulating online writing, in bite-sized broadcasts, delivered daily.",https://thechattymammoth.com,Productivity
8,Paper Covers Rock,"Writing and workflow productivity hacks, creative inspiration, interviews & more",https://papercoversrock.us7.list-manage.com/subscribe?u=828ca0fab946cc73fa208e913&id=abedc2216d,Productivity
9,We Who Think,Ultra-focused on decisions,https://wewhothink.com/,Productivity
10,Failing Forward,"An honest, earnest newsletter about personal growth.",https://lesley.pizza/,Productivity
11,For The Millennial,Productivity | Self-development | Health,https://www.getrevue.co/profile/Jamielyy,Productivity
12,The Freeman Wire,"Insights on God, America and being human for people who are tired of the news.",https://newsletter.freemanwire.com/,Productivity
13,Flygohr's Ramblings,"A newsletter for artists, made by an artist",https://flygohr.substack.com/,Productivity
14,Life-Changing Concepts,Learn useful ideas in 90 seconds.,https://fronterablog.com/life-changing-concepts-newsletter/,Productivity
15,The Epic Growth,Curated content and breakdown of difficult technological concepts for early PMs,https://rashem.substack.com,Productivity
16,Path Nine,"Think, work, and live better.",https://pathnine.substack.com/,Productivity
17,Nomad Bird,Newsletter for Nomads and remote workers.,https://nomadbird.co,Productivity
18,Better Sheets,"Everyone uses Google Sheets. Don't make any sheets, make better sheets.",https://bettersheets.substack.com/,Productivity
19,Deploy Yourself by Sumit Gupta,"Ideas that will show you how powerful you are, and how to get out of your own wa",https://www.deployyourself.com/newsletter/,Productivity
20,WebsiteHunt,The best websites you didn't know,https://www.websitehunt.co,Productivity
21,All Things Automation,Updates about Zapier and Integromat - and how you can automate your business.,https://www.luhhu.com/newsletter,Productivity
22,Technically Underwood,Technically Underwood helps 25-45 year old's prosper and increase self awareness,https://technicallyunderwood.com/subscribe,Productivity
23,Luca's newsletter,Weekly insights into adaptive systems and human behavior,https://luca-dellanna.com/newsletter,Productivity
24,Work Brighter,Resources to help you define productivity in your own work and life!,http://workbrighter.co/newsletter/,Productivity
25,"You, Me, + Iced Tea","Where life, work, and self-identity collide ... over a refreshing glass of iced",https://victoriaklein.substack.com/,Productivity
26,Day One,A Newsletter that brings humanity back to entrepreneurship,https://katsommerkamp.substack.com/,Productivity
27,Tim Ferriss,"Exclusive tools, tips, and resources directly from Tim",https://tim.blog/,Productivity
28,The Dose,"Your weekly dose of productivity tips, book insights and tech news",https://dennistonui.substack.com,Productivity
29,Morfternight,The newsletter that bridges time zones,https://paolo.blog/subscribe,Productivity
